"","SG_PARTIDO","NM_PARTIDO","DS_TP_DOCUMENTO","DT_PAGAMENTO","VR_PAGAMENTO"
"1","DEM","DEMOCRATAS","#NULO#",2018-05-30,332.45
"2","DEM","DEMOCRATAS","BOLETO",2018-07-25,394.75
"3","DEM","DEMOCRATAS","BOLETO",2018-09-03,276.55
"4","DEM","DEMOCRATAS","BOLETO",2018-04-17,50.06
"5","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-01-04,2500.63
"6","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-04-12,422.44
"7","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-04-13,211.32
"8","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-04-22,140
"9","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-09-05,1195.5
"10","DEM","DEMOCRATAS","FATURA",2018-03-01,700.37
"11","DEM","DEMOCRATAS","FATURA",2018-07-24,198.86
"12","DEM","DEMOCRATAS","FATURA",2018-05-29,833.76
"13","DEM","DEMOCRATAS","RECIBO",2018-03-28,1571.61
"14","DEM","DEMOCRATAS","RECIBO",2018-01-26,3000
"15","DEM","DEMOCRATAS","RECIBO",2018-10-30,968.13
"16","DEM","DEMOCRATAS","OUTROS",2018-02-27,1923.1
"17","DEM","DEMOCRATAS","OUTROS",2018-04-26,1155
"18","DEM","DEMOCRATAS","OUTROS",2018-04-05,3646.7
"19","DEM","DEMOCRATAS","OUTROS",2018-08-28,2300
"20","DEM","DEMOCRATAS","OUTROS",2018-08-01,3000
"21","DEM","DEMOCRATAS","OUTROS",2018-08-23,2000
"22","DEM","DEMOCRATAS","OUTROS",2018-10-30,1000
"23","DEM","DEMOCRATAS","OUTROS",2018-12-31,1340
"24","DEM","DEMOCRATAS","OUTROS",2018-03-28,97
"25","DEM","DEMOCRATAS","OUTROS",2018-07-05,146.8
"26","DEM","DEMOCRATAS","OUTROS",2018-09-26,40.6
"27","DEM","DEMOCRATAS","OUTROS",2018-12-31,60.9
"28","DEM","DEMOCRATAS","OUTROS",2018-07-26,275.92
"29","DEM","DEMOCRATAS","OUTROS",2018-09-26,34.49
"30","DEM","DEMOCRATAS","OUTROS",2018-12-06,5297.23
"31","DEM","DEMOCRATAS","BOLETO",2018-04-03,545.3
"32","DEM","DEMOCRATAS","BOLETO",2018-11-29,217.3
"33","DEM","DEMOCRATAS","BOLETO",2018-11-28,50.06
"34","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-02-26,1884.13
"35","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-08-27,1940.05
"36","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-07-25,295.35
"37","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-06-15,65
"38","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-03-27,450
"39","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-08-13,700
"40","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-06-25,3000
"41","DEM","DEMOCRATAS","DOCUMENTO FISCAL",2018-07-18,1000
"42","DEM","DEMOCRATAS","FATURA",2018-05-29,299.49
"43","DEM","DEMOCRATAS","FATURA",2018-09-24,1166.92
"44","DEM","DEMOCRATAS","FATURA",2018-06-25,856.75
"45","DEM","DEMOCRATAS","RECIBO",2018-09-26,1041.23
"46","DEM","DEMOCRATAS","RECIBO",2018-08-27,3000
"47","DEM","DEMOCRATAS","RECIBO",2018-12-31,968.13
"48","DEM","DEMOCRATAS","OUTROS",2018-01-29,1000
"49","DEM","DEMOCRATAS","OUTROS",2018-03-28,1000
"50","DEM","DEMOCRATAS","OUTROS",2018-04-26,2168.56
"51","DEM","DEMOCRATAS","OUTROS",2018-06-26,1500.24
"52","DEM","DEMOCRATAS","OUTROS",2018-07-12,1300
"53","DEM","DEMOCRATAS","OUTROS",2018-08-20,954
"54","DEM","DEMOCRATAS","OUTROS",2018-09-25,1300
"55","DEM","DEMOCRATAS","OUTROS",2018-10-30,1000
"56","DEM","DEMOCRATAS","OUTROS",2018-11-08,1800
"57","DEM","DEMOCRATAS","OUTROS",2018-12-11,3000
"58","DEM","DEMOCRATAS","OUTROS",2018-01-29,19.4
"59","DEM","DEMOCRATAS","OUTROS",2018-06-21,9.7
"60","DEM","DEMOCRATAS","OUTROS",2018-08-17,10.15
"61","DEM","DEMOCRATAS","OUTROS",2018-09-28,10.15
"62","DEM","DEMOCRATAS","OUTROS",2018-12-11,40.6
"63","DEM","DEMOCRATAS","OUTROS",2018-04-06,123.7
"64","DEM","DEMOCRATAS","OUTROS",2018-08-28,34.49
"65","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-12-27,11.9
"66","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,140.02
"67","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-04-30,652.17
"68","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-11-30,539.97
