Cod_setor,Situacao_setor,V001,V060,V061,maioria
250010605000001,1,436,50,34,Homens
250010605000002,1,148,19,11,Homens
250010605000003,1,295,54,16,Homens
250010605000004,8,217,10,15,Mulheres
250010605000005,5,199,18,13,Homens
250010605000006,8,157,12,7,Mulheres
250010605000007,8,98,6,2,Homens
250010605000008,8,131,3,4,Mulheres
250010605000009,8,181,10,6,Mulheres
250010605000010,8,144,8,4,Homens
250010605000011,1,330,22,13,Homens
250010605000012,5,49,4,0,Homens
250010605000013,5,38,2,3,Mulheres
250010605000014,8,139,8,4,Homens
250020505000001,1,314,47,14,Homens
250020505000002,1,236,35,18,Homens
250020505000003,8,101,6,4,Homens
250020505000004,8,85,5,5,Mulheres
250020505000005,8,35,1,5,Mulheres
250020505000006,8,152,13,5,Mulheres
250020505000007,8,125,12,9,Mulheres
250020505000008,8,59,2,6,Mulheres
250020505000009,8,229,24,24,Mulheres
250020505000010,8,10,1,4,Mulheres
250020505000011,1,314,30,19,Homens
250030405000001,1,236,36,21,Homens
250030405000002,1,345,58,28,Homens
250030405000003,1,294,48,18,Homens
250030405000004,1,134,25,4,Mulheres
250030405000005,1,178,21,10,Homens
250030405000006,1,155,22,8,Mulheres
250030405000007,1,202,25,5,Mulheres
250030405000008,1,241,28,9,Mulheres
250030405000009,1,321,48,23,Homens
250030405000010,1,367,58,25,Homens
250030405000011,1,134,22,17,Homens
250030405000012,1,187,18,10,Homens
250030405000013,1,162,18,4,Mulheres
250030405000014,1,71,2,3,Mulheres
250030405000015,1,327,38,22,Homens
250030405000016,8,290,12,20,Mulheres
250030405000017,8,32,0,2,Mulheres
250030405000018,5,374,46,32,Homens
250030405000019,5,145,16,5,Mulheres
250030405000020,8,102,5,7,Mulheres
250030405000021,8,91,7,13,Homens
250030405000022,8,61,6,3,Homens
250030405000023,8,64,3,3,Mulheres
250030405000024,8,6,0,2,Mulheres
250030405000025,8,113,7,2,Homens
250030405000026,8,8,1,0,Homens
250030405000027,8,74,0,6,Mulheres
250030405000028,8,189,13,19,Mulheres
250030405000029,8,148,13,11,Homens
250030405000030,5,295,22,22,Mulheres
250030405000031,5,342,41,23,Homens
250030405000032,8,103,17,4,Mulheres
250030405000033,8,79,1,8,Mulheres
250030405000034,8,95,2,6,Mulheres
250030405000035,8,69,1,5,Mulheres
250030405000036,8,197,6,23,Homens
250030405000037,1,182,32,13,Homens
250030405000038,1,205,32,12,Homens
250030405000039,1,208,23,9,Mulheres
250030405000040,1,342,27,12,Homens
250030405000041,1,178,25,18,Homens
250030405000042,1,232,20,16,Homens
250030405000043,1,196,22,15,Homens
250030405000044,1,251,22,9,Mulheres
250040305000001,1,316,42,22,Homens
250040305000002,1,330,35,27,Homens
250040305000003,1,366,44,27,Homens
250040305000004,1,353,40,24,Homens
250040305000005,1,202,15,12,Homens
250040305000006,1,328,37,24,Homens
250040305000007,1,383,40,15,Homens
250040305000008,1,220,23,13,Homens
250040305000009,8,122,8,10,Homens
250040305000010,8,127,6,11,Homens
250040305000011,8,336,15,28,Mulheres
250040305000012,8,107,3,6,Mulheres
250040305000013,8,134,5,4,Homens
250040305000014,8,230,10,7,Mulheres
250040305000015,8,294,20,28,Mulheres
250040305000016,8,202,5,11,Homens
250040305000017,5,128,19,7,Mulheres
250040305000018,8,364,25,13,Homens
250040305000019,8,85,8,11,Homens
250040305000020,8,222,18,21,Mulheres
250040305000021,8,162,6,12,Homens
250040305000022,8,89,1,5,Mulheres
250040305000023,1,154,11,12,Mulheres
250040305000024,1,181,15,5,Mulheres
250050205000001,1,273,36,7,Mulheres
250050205000002,1,265,27,20,Homens
250050205000003,1,273,18,26,Mulheres
250050205000004,1,345,37,11,Homens
250050205000005,1,336,31,16,Homens
250050205000006,1,369,23,28,Mulheres
250050205000007,1,310,42,13,Homens
250050205000008,1,320,20,27,Mulheres
250050205000009,8,101,3,9,Mulheres
250050205000010,8,139,10,11,Mulheres
250050205000011,8,100,5,9,Mulheres
250050205000012,8,119,12,11,Homens
250050205000013,8,149,9,14,Homens
250050205000014,8,93,5,6,Mulheres
250050205000015,8,54,2,7,Mulheres
250050205000016,8,98,1,6,Mulheres
250050205000017,8,222,16,17,Mulheres
250050205000018,5,81,4,3,Homens
250050205000019,5,56,7,5,Homens
250053605000001,1,193,33,13,Homens
250053605000002,1,223,24,23,Homens
250053605000003,8,107,10,13,Mulheres
250053605000004,5,118,11,8,Mulheres
250053605000005,8,160,7,28,Homens
250053605000006,8,132,14,18,Mulheres
250053605000007,8,207,13,15,Mulheres
250053605000008,8,44,1,3,Mulheres
250053605000009,1,223,34,30,Homens
250053605000010,5,160,18,11,Homens
250057705000001,1,207,14,11,Homens
250057705000002,8,150,3,7,Mulheres
250057705000003,8,65,4,8,Mulheres
250057705000004,8,108,7,13,Homens
250057705000005,1,146,11,10,Homens
250060105000001,1,275,27,26,Homens
250060105000002,1,333,40,28,Homens
250060105000003,1,255,17,11,Homens
250060105000004,1,200,11,19,Mulheres
250060105000005,1,245,22,12,Homens
250060105000006,1,154,23,11,Homens
250060105000007,1,167,19,9,Mulheres
250060105000008,1,107,5,9,Mulheres
250060105000009,8,146,3,10,Homens
250060105000010,8,42,0,5,Mulheres
250060105000011,8,97,3,13,Homens
250060105000012,8,128,7,4,Homens
250060105000013,8,14,0,4,Mulheres
250060105000014,8,163,9,17,Homens
250060105000015,5,444,30,37,Mulheres
250060105000016,5,189,12,11,Homens
250060105000017,8,98,2,9,Mulheres
250060105000018,8,31,2,5,Mulheres
250060105000019,1,237,21,22,Mulheres
250060105000020,1,126,16,8,Mulheres
250060105000021,1,117,6,20,Homens
250060105000022,1,142,8,9,Mulheres
250060105000023,1,261,26,20,Homens
250060105000024,1,336,19,21,Mulheres
250060105000025,1,234,21,9,Mulheres
250060105000026,8,31,0,2,Mulheres
250060105000027,5,258,15,18,Mulheres
250060105000028,5,149,8,12,Homens
250060105000029,5,110,1,7,Mulheres
250070005000001,1,330,67,27,Homens
250070005000002,1,242,19,8,Mulheres
250070005000003,1,272,30,16,Homens
250070005000004,1,314,31,14,Homens
250070005000005,1,240,47,8,Mulheres
250070005000006,1,388,37,27,Homens
250070005000007,8,136,9,10,Homens
250070005000008,8,234,19,10,Homens
250070005000009,8,142,12,9,Mulheres
250070005000010,8,253,23,21,Homens
250070005000011,8,111,7,10,Homens
250070005000012,8,117,8,2,Homens
250070005000013,8,216,13,18,Mulheres
250070005000014,8,81,4,10,Homens
250070005000015,8,122,9,7,Homens
250070005000016,8,140,7,3,Homens
250070005000017,8,203,14,14,Mulheres
250070005000018,8,128,12,4,Mulheres
250070005000019,5,150,15,13,Homens
250070005000020,1,253,36,12,Homens
250070005000021,5,167,9,19,Homens
250070015000001,1,54,4,2,Homens
250070015000002,8,186,15,17,Mulheres
250070015000003,8,251,20,11,Homens
250070015000004,8,85,3,1,Homens
250070015000005,8,213,6,13,Homens
250070015000006,8,108,5,4,Homens
250070015000007,5,260,14,13,Homens
250073405000001,1,207,21,19,Homens
250073405000002,8,162,9,13,Homens
250073405000003,8,134,7,14,Homens
250073405000004,1,133,9,11,Homens
250077505000001,1,225,18,9,Mulheres
250077505000002,1,327,31,15,Homens
250077505000003,8,300,10,12,Mulheres
250077505000004,8,251,22,21,Homens
250077505000005,8,147,6,6,Mulheres
250077505000006,8,174,5,10,Homens
250077505000007,5,128,2,3,Mulheres
250077505000008,1,240,19,7,Mulheres
250077505000009,1,264,22,13,Homens
250077505000010,5,96,8,8,Mulheres
250077505000011,5,57,2,1,Homens
250080905000001,1,316,31,18,Homens
250080905000002,1,270,28,10,Homens
250080905000003,1,320,36,17,Homens
250080905000004,1,307,42,14,Homens
250080905000005,1,315,40,35,Homens
250080905000006,1,262,23,13,Homens
250080905000007,8,79,5,11,Homens
250080905000008,8,85,2,7,Mulheres
250080905000009,8,43,3,3,Mulheres
250080905000010,8,43,1,10,Mulheres
250080905000011,8,94,8,9,Mulheres
250080905000012,8,151,4,21,Homens
250080905000013,8,155,6,12,Homens
250080905000014,8,165,15,13,Homens
250080905000015,8,87,6,1,Homens
250080905000016,8,168,11,9,Mulheres
250080905000017,8,191,10,16,Mulheres
250080905000018,8,93,11,10,Homens
250080905000019,8,56,1,5,Mulheres
250080905000020,8,82,3,5,Mulheres
250080905000021,8,65,4,5,Mulheres
250080905000022,8,87,4,2,Homens
250080905000023,8,38,2,2,Mulheres
250080905000024,8,181,10,13,Mulheres
250080905000025,8,36,2,2,Mulheres
250080905000026,8,127,8,9,Mulheres
250080905000027,8,119,8,15,Homens
250080905000028,8,84,8,3,Homens
250080905000029,8,53,8,2,Homens
250080905000030,8,25,1,1,Mulheres
250080905000031,8,64,4,8,Mulheres
250080905000032,5,135,12,3,Mulheres
250080905000033,5,100,2,4,Mulheres
250080905000034,5,121,11,8,Mulheres
250080905000035,5,5,0,0,Mulheres
250080905000036,1,253,20,25,Mulheres
250080905000037,5,226,30,12,Homens
250080905000038,5,16,1,1,Mulheres
250090805000001,1,253,65,19,Homens
250090805000002,1,204,37,7,Mulheres
250090805000003,1,313,57,23,Homens
250090805000004,1,301,46,24,Homens
250090805000005,1,146,34,5,Mulheres
250090805000006,1,167,17,8,Mulheres
250090805000007,1,261,29,15,Homens
250090805000008,1,142,28,7,Mulheres
250090805000009,1,226,25,20,Homens
250090805000010,8,135,5,14,Homens
250090805000011,8,188,9,22,Homens
250090805000012,8,128,6,12,Homens
250090805000013,8,107,3,17,Homens
250090805000014,8,136,11,17,Mulheres
250090805000015,8,324,18,30,Mulheres
250090805000016,1,203,27,15,Homens
250090805000017,1,240,42,11,Homens
250090805000018,1,249,26,13,Homens
250090805000019,1,195,30,18,Homens
250100505000001,1,284,30,9,Mulheres
250100505000002,1,327,30,19,Homens
250100505000003,1,174,19,10,Homens
250100505000004,1,199,19,8,Mulheres
250100505000005,1,296,29,16,Homens
250100505000006,1,207,28,8,Mulheres
250100505000007,1,289,42,13,Homens
250100505000008,8,204,13,11,Homens
250100505000009,8,101,4,8,Mulheres
250100505000010,8,96,9,12,Homens
250100505000011,8,123,5,4,Homens
250100505000012,8,163,10,7,Mulheres
250100505000013,8,153,6,6,Mulheres
250100505000014,5,396,27,18,Homens
250100505000015,8,86,1,12,Mulheres
250100505000016,8,92,3,1,Homens
250100505000017,8,177,13,10,Homens
250100505000018,8,306,12,18,Mulheres
250100505000019,5,76,3,1,Homens
250100505000020,8,337,18,18,Mulheres
250100505000021,7,76,5,3,Homens
250100505000022,5,53,1,6,Mulheres
250100505000023,5,97,2,2,Mulheres
250100505000024,1,202,24,6,Mulheres
250100505000025,1,292,31,11,Homens
250100505000026,1,212,20,7,Mulheres
250100505000027,1,244,16,12,Homens
250110405000001,1,118,14,9,Mulheres
250110405000002,1,187,35,16,Homens
250110405000003,1,209,36,16,Homens
250110405000004,1,169,10,13,Mulheres
250110405000005,1,209,26,19,Homens
250110405000006,1,169,15,8,Mulheres
250110405000007,1,282,25,17,Homens
250110405000008,1,230,34,13,Homens
250110405000009,1,227,14,16,Mulheres
250110405000010,1,143,10,9,Mulheres
250110405000011,8,112,6,9,Mulheres
250110405000012,8,109,2,5,Mulheres
250110405000013,5,169,10,10,Mulheres
250110405000014,8,52,2,4,Mulheres
250110405000015,8,38,1,5,Mulheres
250110405000016,8,54,4,5,Mulheres
250110405000017,8,37,0,3,Mulheres
250110405000018,8,33,2,3,Mulheres
250110405000019,8,104,2,8,Mulheres
250110405000020,8,114,2,3,Mulheres
250110405000021,8,74,2,13,Homens
250110405000022,1,16,0,2,Mulheres
250110405000023,1,180,21,10,Homens
250110405000024,1,146,25,7,Mulheres
250110405000025,1,104,11,10,Homens
250110405000026,1,157,12,8,Mulheres
250110405000027,1,243,29,15,Homens
250110405000028,1,234,24,16,Homens
250110405000029,1,154,14,5,Mulheres
250110405000030,1,197,23,5,Mulheres
250110405000031,1,185,12,6,Mulheres
250110410000001,1,182,9,13,Homens
250110410000002,8,133,8,7,Homens
250110410000003,8,33,1,4,Mulheres
250110410000004,8,130,2,11,Homens
250110410000005,8,80,4,4,Mulheres
250110415000001,1,280,28,10,Homens
250110415000002,8,204,11,15,Mulheres
250110415000003,8,99,1,7,Mulheres
250110415000004,8,37,3,3,Mulheres
250110415000005,8,23,3,1,Homens
250110420000001,1,73,6,2,Homens
250110420000002,8,55,4,4,Mulheres
250110420000003,8,119,4,7,Mulheres
250110420000004,8,178,26,5,Mulheres
250110420000005,8,21,3,1,Homens
250110420000006,8,85,6,7,Mulheres
