"","global_key","gender","gender_count"
"1","aaai","-",1278
"2","aaai","F",3551
"3","aaai","M",13075
"4","acl","-",845
"5","acl","F",2681
"6","acl","M",7639
"7","adbis","-",102
"8","adbis","F",477
"9","adbis","M",1936
"10","alt","-",40
"11","alt","F",144
"12","alt","M",934
"13","cade","-",52
"14","cade","F",319
"15","cade","M",1848
"16","chi","-",1910
"17","chi","F",11197
"18","chi","M",23578
"19","cikm","-",588
"20","cikm","F",1260
"21","cikm","M",3955
"22","cvpr","-",2122
"23","cvpr","F",3616
"24","cvpr","M",15589
"25","dasfaa","-",755
"26","dasfaa","F",1129
"27","dasfaa","M",3021
"28","dbpl","-",10
"29","dbpl","F",47
"30","dbpl","M",245
"31","dolap","-",29
"32","dolap","F",111
"33","dolap","M",469
"34","edbt","-",258
"35","edbt","F",891
"36","edbt","M",3279
"37","er","-",258
"38","er","F",1034
"39","er","M",3085
"40","esa","-",135
"41","esa","F",426
"42","esa","M",2726
"43","eurocrypt","-",67
"44","eurocrypt","F",240
"45","eurocrypt","M",1474
"46","fase","-",37
"47","fase","F",284
"48","fase","M",1102
"49","focs","-",107
"50","focs","F",351
"51","focs","M",2539
"52","fse","-",75
"53","fse","F",189
"54","fse","M",992
"55","fsttcs","-",96
"56","fsttcs","F",198
"57","fsttcs","M",1420
"58","gpce","-",26
"59","gpce","F",101
"60","gpce","M",971
"61","icalp","-",194
"62","icalp","F",637
"63","icalp","M",4131
"64","iccv","-",764
"65","iccv","F",1354
"66","iccv","M",6095
"67","icde","-",1048
"68","icde","F",2373
"69","icde","M",8356
"70","icdt","-",23
"71","icdt","F",133
"72","icdt","M",679
"73","icml","-",255
"74","icml","F",768
"75","icml","M",4110
"76","icsm","-",122
"77","icsm","F",531
"78","icsm","M",2010
"79","ijcai","-",924
"80","ijcai","F",2377
"81","ijcai","M",9074
"82","infocom","-",2260
"83","infocom","F",4421
"84","infocom","M",13794
"85","ipco","-",40
"86","ipco","F",133
"87","ipco","M",757
"88","isaac","-",423
"89","isaac","F",417
"90","isaac","M",2496
"91","issac","-",153
"92","issac","F",216
"93","issac","M",1580
"94","iwpc","-",67
"95","iwpc","F",356
"96","iwpc","M",1450
"97","kbse","-",209
"98","kbse","F",840
"99","kbse","M",3468
"100","kdd","-",993
"101","kdd","F",2325
"102","kdd","M",7172
"103","latin","-",59
"104","latin","F",225
"105","latin","M",1182
"106","lfcs","-",8
"107","lfcs","F",30
"108","lfcs","M",195
"109","lics","-",48
"110","lics","F",173
"111","lics","M",1544
"112","mfcs","-",103
"113","mfcs","F",374
"114","mfcs","M",2315
"115","mobicom","-",423
"116","mobicom","F",1018
"117","mobicom","M",4038
"118","msr","-",70
"119","msr","F",323
"120","msr","M",1296
"121","nsdi","-",85
"122","nsdi","F",251
"123","nsdi","M",1722
"124","osdi","-",86
"125","osdi","F",248
"126","osdi","M",1474
"127","pldi","-",164
"128","pldi","F",327
"129","pldi","M",2668
"130","podc","-",110
"131","podc","F",517
"132","podc","M",2426
"133","pods","-",74
"134","pods","F",183
"135","pods","M",1167
"136","popl","-",79
"137","popl","F",244
"138","popl","M",1815
"139","recomb","-",144
"140","recomb","F",452
"141","recomb","M",1710
"142","ride","-",36
"143","ride","F",62
"144","ride","M",157
"145","scam","-",24
"146","scam","F",142
"147","scam","M",792
"148","sigcomm","-",281
"149","sigcomm","F",788
"150","sigcomm","M",4084
"151","sigir","-",937
"152","sigir","F",1971
"153","sigir","M",6522
"154","sigmetrics","-",187
"155","sigmetrics","F",530
"156","sigmetrics","M",2222
"157","sigmod","-",696
"158","sigmod","F",1727
"159","sigmod","M",6988
"160","soda","-",293
"161","soda","F",740
"162","soda","M",5027
"163","sosp","-",56
"164","sosp","F",170
"165","sosp","M",1015
"166","sp","-",121
"167","sp","F",370
"168","sp","M",2053
"169","spaa","-",84
"170","spaa","F",271
"171","spaa","M",1684
"172","ssdbm","-",120
"173","ssdbm","F",466
"174","ssdbm","M",1786
"175","stacs","-",40
"176","stacs","F",166
"177","stacs","M",1295
"178","www","-",349
"179","www","F",737
"180","www","M",2174
